author,year,paper_title,doi,country,state_region,lat,lon,ecosystem,lake_area,system_type,predator_latin,predator_common,base_latin,base_common,dN_top,dN_base,tp_base,fcl,tef,lake_id,ecosystem_key,TP
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.149204,-79.090401,Dickie Lake,2.32,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,3.51,3.4,dickie lake,dickielake,NA
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.559924,-78.652357,Source Lake,2.43,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,3.72,3.4,source lake,sourcelake,5
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.620779,-78.023025,Victoria Lake,2.95,Lake,Lota lota,Burbot,NA,NA,NA,NA,NA,4.22,3.4,victoria lake,victorialake,6.59
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.516137,-79.264294,Clear Lake,2.21,Lake,Ambloplites rupestris,Rock bass,NA,NA,NA,NA,NA,4.07,3.4,clear lake,clearlake,4.3
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.516137,-79.264294,Clear Lake,2.21,Lake,Ambloplites rupestris,Rock bass,NA,NA,NA,NA,NA,4.07,3.4,clear lake,clearlake,6.6
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.699993,-78.394653,Opeongo Lake,3.71,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.15,3.4,opeongo lake,opeongolake,8
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.025745,-78.70619,Twelve Mile Lake,2.53,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.31,3.4,twelve mile lake,twelvemilelake,6.67
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.516617,-78.682392,Smoke Lake,2.78,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.37,3.4,smoke lake,smokelake,5
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.178767,-79.605918,Rosseau Lake,3.8,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.46,3.4,rosseau lake,rosseaulake,5.375
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.05607,-72.271663,Lake Memphremagog,4.18,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.55,3.4,lake memphremagog,lakememphremagog,NA
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,46.929746,-80.06194,Temagami Lake,4.36,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.6,3.4,temagami lake,temagamilake,2
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.030786,-79.447069,Muskoka Lake,4.09,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.64,3.4,muskoka lake,muskokalake,7.07
"Vander Zanden, M. J. et al.",1999,Patterns of Food Chain Length in Lakes: A Stable Isotope Study,10.1086/303250,Canada,Ontario,45.464187,-78.502124,Louisa Lake,2.69,Lake,Salvelinus namaycush,Lake trout,NA,NA,NA,NA,NA,4.86,3.4,louisa lake,louisalake,3.4
"Chandra, S.",NA,NA,NA,NA,NA,NA,NA,Pyramid Lake,4.69,Lake,Oncorhynchus clarki henshawi,Lahontan cutthroat trout,NA,NA,12.67,7.33,2,3.57,3.4,pyramid lake,pyramidlake,NA
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,Colorado,40.313272,-105.648327,Bear Lake,1.68,Lake,Micropterus salmoides,Largemouth bass,NA,NA,12.56,6.15,2,3.89,3.4,bear lake,bearlake,28.2
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,Colorado,40.265435,-105.641501,Black Lake,3.49,Lake,Sander vitreus,Walleye,NA,NA,11.85,5.19,2,3.96,3.4,black lake,blacklake,64.9
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,Colorado,39.885706,-107.139552,Bull Lake,1.08,Lake,Micropterus salmoides,Largemouth bass,NA,NA,10.62,5.12,2,3.62,3.4,bull lake,bulllake,10.2
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,42.690144,-76.701246,Cayuga Lake,4.24,Lake,Salvelinus namaycush,Lake trout,NA,NA,20.62,11.96,2,4.55,3.4,cayuga lake,cayugalake,16.9
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,Vermont,44.5598,-73.341469,Lake Champlain,5.05,Lake,Salvelinus namaycush,Lake trout,NA,NA,18.86,9.15,2,4.85,3.4,lake champlain,lakechamplain,12.1
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,42.215883,-79.45208,Chautauqua Lake,3.73,Lake,Micropterus salmoides,Largemouth bass,NA,NA,16.1,9.41,2,3.97,3.4,chautauqua lake,chautauqualake,12.2
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,NA,NA,NA,NA,Clear Lake,1.81,Lake,Micropterus salmoides,Largemouth bass,NA,NA,12.44,5.92,2,3.92,3.4,clear lake,clearlake,4.3
